,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
const,-918483943.4429488,,,,,
x1,2229010.2549645677,13035007902.608908,0.00017100183380160743,0.9998635602776057,-25545917017.053486,25550375037.56341
x2,3463915.5269329078,59693709.46745799,0.05802814999830527,0.9537262058443179,-113533605.1328824,120461436.18674822
x3,536354.4217033936,485744183.3662207,0.0011041911361376322,0.9991189831193287,-951504750.6759093,952577459.519316
x4,1496162.936905097,,,,,
x5,-729919.7938392687,75913521.22595571,-0.009615148685656024,0.9923283395229614,-149517687.3363294,148057847.74865085
x6,-568329.7879752197,391323190.39946836,-0.0014523284127246853,0.9988412099896361,-767547689.2862434,766411029.710293
x7,163325.62441429982,1329035414.3451078,0.00012289034788044362,0.9999019476890013,-2604698220.6702647,2605024871.9190936
x8,-1961112.9391924147,74393682.75707419,-0.02636128319653499,0.9789691749432639,-147770051.82035625,143847825.94197142
x9,747561.5324408556,585507159.1204218,0.0012767760748884438,0.9989812803590229,-1146825383.0339484,1148320506.0988302
x10,1047805.5827370653,,,,,
x11,2776300.0863466226,128044946.91447021,0.021682230757619034,0.9827014382428185,-248187184.2683581,253739784.44105136
x12,-1617365.6156550003,1064400024.8781122,-0.0015195091862574975,0.9987876075468375,-2087803079.5202923,2084568348.2889824
x13,85212.66654251853,402055370.6186813,0.00021194261479804037,0.9998308942611425,-787928833.5369762,788099258.8700613
x14,254085.547880597,20957341.855789535,0.012123939649837082,0.9903267327166553,-40821549.70116071,41329720.7969219
x15,1238462.678444542,339655357.6287294,0.003646233308641877,0.9970907331844098,-664473805.429937,666950730.786826
x16,-809860.8028559145,,,,,
x17,-561255.0127073372,1044371989.1822318,-0.0005374091018534624,0.9995712095954359,-2047492740.2723365,2046370230.246922
x18,499961.62237375765,162148380.423634,0.003083358717907278,0.9975398395817311,-317305024.15944844,318304947.40419596
x19,-338342.9555290914,68647757.19684373,-0.0049286818585916985,0.9960674967612594,-134885474.6807931,134208788.76973492
x20,1638398.5042842948,,,,,
x21,-3228212.94990669,56159604.74983485,-0.05748282888184293,0.954160584057,-113299015.64558755,106842589.74577416
x22,-1794113.1218823765,101129113.82539111,-0.017740817199091458,0.9858456183483607,-200003534.00810063,196415307.76433587
x23,2864092.2222504527,,,,,
x24,-1419279.1023300786,153670610.12099388,-0.009235852588940703,0.9926309605779542,-302608140.4217744,299769582.2171142
x25,-132435.6429209125,,,,,
x26,-1040189.1201097178,,,,,
x27,-58293774.76280255,463203256.9516139,-0.12584923332888373,0.8998512689907852,-966155475.9096183,849567926.384013
x28,-9250848.378104122,784685933.331144,-0.01178923692289535,0.9905937677653465,-1547207016.8823442,1528705320.1261358
x29,-156230431.1208435,,,,,
x30,83991.12181280086,8018171.387497483,0.010475096846117051,0.9916422348001759,-15631336.019551821,15799318.263177421
x31,1388081.0876639602,,,,,
x32,-2966015.0692208237,,,,,
x33,-104397.28326266089,429993455.6398515,-0.00024278807477967908,0.9998062831454894,-842876083.925293,842667289.3587677
x34,2196667.691686407,,,,,
x35,153721.74248635903,171856487.12007043,0.0008944773925173901,0.9992863103936924,-336678803.5224233,336986247.00739604
x36,-214726.09731452423,270792206.7192249,-0.0007929552327817409,0.9993673133286588,-530957698.5611205,530528246.36649144
x37,347998.85274346714,,,,,
x38,806869.2247178596,,,,,
x39,-7031536243.335304,,,,,
x40,2260074.7154490636,271611978.4642625,0.008320968494202233,0.9933609043211602,-530089620.8441742,534609770.2750723
x41,286681.53916505334,,,,,
x42,2191613921.825546,1140787186.4012756,1.9211417764422876,0.05471383605725597,-44287877.545735836,4427515721.196827
x43,1612646.2356703568,172994936.7051099,0.009321927371893553,0.9925622857940204,-337451199.2141313,340676491.68547195
x44,766131.306914224,319901790.4319654,0.002394895339221803,0.9980891518107156,-626229856.529618,627762119.1434464
x45,-131341.99892461972,,,,,
x46,-920400.5509170496,,,,,
x47,-295931.18937231554,74142465.94234008,-0.00399138584900128,0.9968153433107568,-145612494.1613464,145020631.7826018
x48,-855843.728538308,88205592.77191329,-0.009702828376783252,0.9922583845144769,-173735628.79649487,172023941.33941826
x49,199042.2356065934,,,,,
x50,1066734.318255701,59503180.234570496,0.01792734966518552,0.9856968106401562,-115557355.90709807,117690824.54360949
x51,1027836.1686011403,,,,,
x52,1166386.9454410835,,,,,
x53,-287205.8438798832,345991298.9542966,-0.0008300955681484389,0.9993376796382464,-678417690.7585322,677843279.0707723
x54,-4797309.462411725,,,,,
x55,-19504.244536695976,48576322.39128439,-0.00040151752081165053,0.9996796353778605,-95227346.6328607,95188338.14378731
x56,3045615.319630224,85284132.224128,0.03571139484219996,0.9715124845784034,-164108212.2924125,170199442.93167296
x57,-1228058.0264615978,72399227.98594649,-0.016962308309419787,0.9864666850547918,-143127937.38742107,140671821.33449787
x58,72011.05843619624,,,,,
x59,-1382087.544103299,98154574.78235886,-0.014080724685200299,0.9887655784054739,-193761519.03537005,190997343.94716346
x60,236237.08161010436,121599617.81709805,0.0019427452639319662,0.9984499145234066,-238094634.37373713,238567108.53695735
